2023-08-09 18:32:42.165 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-09 18:32:48.654 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-08-09 18:32:48.729 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Starting ContactsApplication using Java 20.0.2 with PID 5756 (C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts\target\classes started by sainath.a in C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts)
2023-08-09 18:32:48.730 [restartedMain] DEBUG c.e.Contacts.ContactsApplication - Running with Spring Boot v3.0.5, Spring v6.0.7
2023-08-09 18:32:48.731 [restartedMain] INFO  c.e.Contacts.ContactsApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-09 18:32:48.805 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-09 18:32:48.805 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-09 18:32:49.879 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-09 18:32:49.975 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 85 ms. Found 3 JPA repository interfaces.
2023-08-09 18:32:51.008 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2023-08-09 18:32:51.022 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2023-08-09 18:32:51.023 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-09 18:32:51.023 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-08-09 18:32:51.121 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-09 18:32:51.122 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2316 ms
2023-08-09 18:32:51.335 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-09 18:32:51.408 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-08-09 18:32:51.746 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-09 18:32:52.090 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5b6bb4e3
2023-08-09 18:32:52.092 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-09 18:32:52.159 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-08-09 18:32:53.167 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-09 18:32:53.176 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:32:53.604 [restartedMain] DEBUG c.e.Contacts.filter.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2023-08-09 18:32:53.811 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-09 18:32:54.175 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@130dee0c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62650a08, org.springframework.security.web.context.SecurityContextHolderFilter@48af2673, org.springframework.security.web.header.HeaderWriterFilter@207d1fc7, org.springframework.web.filter.CorsFilter@55b8c128, org.springframework.security.web.authentication.logout.LogoutFilter@35ae8c58, com.example.Contacts.filter.JwtAuthFilter@2c51f31e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@337d26dc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7dd7b126, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6c9620da, org.springframework.security.web.session.SessionManagementFilter@6b074bee, org.springframework.security.web.access.ExceptionTranslationFilter@61b5acd5, org.springframework.security.web.access.intercept.AuthorizationFilter@5ce5bf8a]
2023-08-09 18:32:54.506 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-09 18:32:54.527 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2023-08-09 18:32:54.557 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2023-08-09 18:32:54.570 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Started ContactsApplication in 6.327 seconds (process running for 7.419)
2023-08-09 18:34:55.844 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:34:55.849 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-09 18:34:55.858 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-09 18:35:02.771 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-08-09 18:35:02.843 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Starting ContactsApplication using Java 20.0.2 with PID 19080 (C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts\target\classes started by sainath.a in C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts)
